id,x1,y1,x2,y2,class,confidence
474.0,25,1139,2137,2703,target,0.41611751914024353
475.0,-43,-6,2204,2523,target,0.4114423990249634
480.0,1426,2615,1532,2719,target,0.41587862372398376
481.0,768,1587,1154,1975,target,0.9335924386978149
488.0,1125,3656,1784,3836,target,0.38257139921188354
489.0,1191,1737,1313,1855,target,0.5242013931274414
490.0,1229,3556,1832,3841,target,0.4899426996707916
493.0,1185,2431,1255,2495,target,0.3023837208747864
494.0,886,1643,1354,2132,target,0.8428587913513184
501.0,1977,3,2160,782,target,0.44256943464279175
503.0,1994,1842,2155,2785,target,0.44860219955444336
502.0,1979,1481,2158,2794,target,0.44860219955444336
514.0,5,2389,283,3599,target,0.8068996667861938
518.0,1440,2652,1548,2754,target,0.5903195738792419
521.0,493,1429,905,1851,target,0.8200163245201111
525.0,34,1205,2132,3872,target,0.36705654859542847
526.0,64,876,1293,2204,target,0.7641483545303345
